[10:59:43:659]|[12-09-2024]|[com.adventnet.persistence.util.DCManager]|[INFO]|[30]: All valid properties are available for dctype :: defaultdc, database :: postgres|
[10:59:43:660]|[12-09-2024]|[com.adventnet.persistence.util.DCManager]|[INFO]|[30]: dc-types defined in dynamic-column-types.props :: [defaultdc]|
[10:59:43:660]|[12-09-2024]|[com.adventnet.persistence.PersistenceInitializer]|[INFO]|[30]: Loading UDTs from directory :: ..\conf\udt|
[10:59:43:671]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: AGE|
[10:59:43:671]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: CURRENCY|
[10:59:43:672]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: CURRENCYSYMBOL|
[10:59:43:672]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: DAYS|
[10:59:43:673]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: GENDER|
[10:59:43:673]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: HONORIFIC|
[10:59:43:674]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: JSONSTRING|
[10:59:43:674]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: LENGTH|
[10:59:43:675]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: MONTHS|
[10:59:43:679]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: UUID|
[10:59:43:680]|[12-09-2024]|[com.adventnet.db.persistence.metadata.DataTypeManager]|[INFO]|[30]: Loaded data type :: WEIGHT|
